agent,opponent,our_points,opp_points,rallies,duration_s,won
Optimized,RL,5,0,5,0.2484157499857247,1
Optimized,RL,5,3,8,0.39737258292734623,1
Optimized,RL,5,2,7,0.3205371249932796,1
Optimized,RL,5,2,7,0.3569052501115948,1
Optimized,RL,5,3,8,0.3925476248841733,1
Optimized,RL,5,3,8,0.3737182500772178,1
Optimized,RL,0,5,5,0.22957245795987546,0
Optimized,RL,3,5,8,0.3565944170113653,0
Optimized,RL,5,4,9,0.4580622499343008,1
Optimized,RL,5,3,8,0.40452191699296236,1
Optimized,RL,5,1,6,0.2776291249319911,1
Optimized,RL,5,4,9,0.4690503338351846,1
Optimized,RL,4,5,9,0.44054075004532933,0
Optimized,RL,5,3,8,0.40893966681323946,1
Optimized,RL,5,0,5,0.261420208029449,1
Optimized,RL,5,3,8,0.3698893750552088,1
Optimized,RL,5,1,6,0.28051633411087096,1
Optimized,RL,2,5,7,0.30412450013682246,0
Optimized,RL,5,3,8,0.3779122920241207,1
Optimized,RL,5,0,5,0.24681970803067088,1
Optimized,RL,5,2,7,0.3916998340282589,1
Optimized,RL,5,1,6,0.3072203751653433,1
Optimized,RL,5,2,7,0.35268999985419214,1
Optimized,RL,5,4,9,0.4656474159564823,1
Optimized,RL,5,2,7,0.3301694579422474,1
Optimized,RL,5,2,7,0.3170119170099497,1
Optimized,RL,5,1,6,0.2709524161182344,1
Optimized,RL,5,1,6,0.2729958340059966,1
Optimized,RL,5,3,8,0.37756670801900327,1
Optimized,RL,5,1,6,0.26886820793151855,1
Optimized,RL,5,1,6,0.29912008391693234,1
Optimized,RL,5,1,6,0.2287237080745399,1
Optimized,RL,5,1,6,0.2630661251023412,1
Optimized,RL,2,5,7,0.3568329159170389,0
Optimized,RL,5,4,9,0.3888655409682542,1
Optimized,RL,5,2,7,0.32603829191066325,1
Optimized,RL,5,0,5,0.2254944578744471,1
Optimized,RL,5,1,6,0.2727060839533806,1
Optimized,RL,5,0,5,0.23396541690453887,1
Optimized,RL,5,0,5,0.23614979186095297,1
Optimized,RL,5,2,7,0.34909883397631347,1
Optimized,RL,5,2,7,0.34886566596105695,1
Optimized,RL,2,5,7,0.37386495782993734,0
Optimized,RL,5,0,5,0.19242745894007385,1
Optimized,RL,5,3,8,0.3692480409517884,1
Optimized,RL,2,5,7,0.3334433750715107,0
Optimized,RL,5,4,9,0.43710166588425636,1
Optimized,RL,5,4,9,0.4016331660095602,1
