agent,opponent,our_points,opp_points,rallies,duration_s,won
RL,default,1,5,6,0.2629221249371767,0
RL,default,3,5,8,0.3603026671335101,0
RL,default,5,3,8,0.3981191248167306,1
RL,default,2,5,7,0.35432699997909367,0
RL,default,5,4,9,0.447886916808784,1
RL,default,1,5,6,0.26088708313181996,0
RL,default,2,5,7,0.3105182920116931,0
RL,default,2,5,7,0.36913816584274173,0
RL,default,2,5,7,0.3337392080575228,0
RL,default,5,2,7,0.3205436668358743,1
RL,default,5,3,8,0.3868650831282139,1
RL,default,2,5,7,0.262713624862954,0
RL,default,0,5,5,0.2171275420114398,0
RL,default,2,5,7,0.32890316704288125,0
RL,default,2,5,7,0.3240262079052627,0
RL,default,5,2,7,0.33524374989792705,1
RL,default,0,5,5,0.273870165925473,0
RL,default,2,5,7,0.3487350840587169,0
RL,default,3,5,8,0.3635222918819636,0
RL,default,0,5,5,0.24956329190172255,0
RL,default,4,5,9,0.4518572920933366,0
RL,default,5,4,9,0.4557387079112232,1
RL,default,1,5,6,0.2875534170307219,0
RL,default,3,5,8,0.36537537490949035,0
RL,default,1,5,6,0.25867925002239645,0
RL,default,2,5,7,0.3217648339923471,0
RL,default,3,5,8,0.35629449994303286,0
RL,default,3,5,8,0.36595762497745454,0
RL,default,5,4,9,0.44792154198512435,1
RL,default,0,5,5,0.2740821251645684,0
RL,default,3,5,8,0.3849373748525977,0
RL,default,5,3,8,0.3485351661220193,1
RL,default,1,5,6,0.2737514169421047,0
RL,default,4,5,9,0.4828109999652952,0
RL,default,3,5,8,0.3787044999189675,0
RL,default,3,5,8,0.36708254204131663,0
